codice_provincia,sigla_provincia,nome_provincia,grado,materia,anno,livello_1,livello_2,livello_3,livello_4,livello_5,perc_copertura_stu_x,punteggio_medio_wle,deviazione_standard_wle,perc_copertura_stu_y,minore_95,95_110,maggiore_110
1,TO,TORINO,8,Italiano,2017-18,10.07964287526,20.270887231776,31.1469588596358,24.0653375944808,14.4067366712322,97.2568947654053,204.2,38.4022660681025,97.2568947654053,30.4,31.1,38.5
1,TO,TORINO,10,Italiano,2017-18,8.74020494273659,19.8010849909584,32.2061482820977,27.7456298975286,11.1030741410488,93.5438398646744,204.5,37.4325480101982,93.5438398646744,28.5,32.2,38.8
1,TO,TORINO,8,Matematica,2017-18,13.3821063862216,21.5871564294061,25.6718996087995,20.6980643194635,18.6353706243967,97.1088854901574,204.4,38.8771803753234,97.1088854901574,35.0,25.7,39.3
1,TO,TORINO,10,Matematica,2017-18,12.8287675393306,22.1223349328798,23.294660754419,20.0145781449311,21.3691307781085,92.8277417535946,206.2,39.6928577185688,92.8277417535946,35.0,23.3,41.4
1,TO,TORINO,8,Inglese R,2017-18,3.85478278604936,18.6569447277177,77.4576789720579,0.0,0.0,96.7585968720706,203.7,38.4997276570182,96.7585968720706,22.5,77.5,0.0
1,TO,TORINO,8,Inglese L,2017-18,3.23652725227528,37.5140607424072,58.9835361488905,0.0,0.0,96.4921801766244,201.9,37.9568010160623,96.4921801766244,40.8,59.0,0.0
1,TO,TORINO,8,Italiano,2018-19,10.8373639661427,21.1557839580814,30.5975413139863,25.3879484079,11.9407496977025,97.3991559524978,201.8,36.535730628665,97.4756900108044,32.0,30.6,37.3
1,TO,TORINO,10,Italiano,2018-19,7.7593825487539,19.9021976079656,30.4896011312084,26.4361044011076,15.2006127378778,93.5099994490662,206.6,38.3128545763551,93.5512318800639,27.7,30.5,41.6
1,TO,TORINO,13,Italiano,2018-19,8.55267476206104,16.8690515260912,29.1762389235313,28.1522809320643,17.1578601903512,97.1743844878173,208.8,39.6957091413286,97.1867823424343,25.4,29.2,45.3
1,TO,TORINO,8,Matematica,2018-19,13.7275660415406,20.8711433756806,26.7291792700141,20.6896551724138,17.967332123412,97.34026891746,203.2,37.6154756350426,97.4167567036637,34.6,26.7,38.7
1,TO,TORINO,10,Matematica,2018-19,9.63327211327685,20.498844718289,25.7242727649742,20.7180520172996,23.1056342200367,92.9613923004902,209.3,38.7559752785589,93.0023692765442,30.1,25.7,43.8
1,TO,TORINO,13,Matematica,2018-19,11.2786885245902,17.8819672131148,22.3409836065574,20.0983606557377,28.3016393442623,97.0533952777954,211.5,38.0806353297413,97.0657501113869,29.2,22.3,48.4
1,TO,TORINO,8,Inglese R,2018-19,3.0192870847218,17.4240129253761,79.4658184388569,0.0,0.0,97.1930513298655,205.0,36.2913285970916,97.2694234358118,20.4,79.5,0.0
1,TO,TORINO,13,Inglese R,2018-19,6.36900417965899,33.1851655277649,60.4458302925761,0.0,0.0,96.7520379998716,208.1,38.1400682424467,96.7770929635336,39.6,60.4,0.0
1,TO,TORINO,8,Inglese L,2018-19,1.63205497448335,36.1123743115558,62.1696730837249,0.0,0.0,97.1194425360683,203.3,33.2981085002753,97.1957568018859,37.7,62.2,0.0
1,TO,TORINO,13,Inglese L,2018-19,15.624792400186,41.24094864811,43.134258951704,0.0,0.0,96.6236600552025,209.7,38.3754979985927,96.6486902927581,56.9,43.1,0.0
1,TO,TORINO,8,Italiano,2020-21,12.6494427558257,22.5025329280648,30.5521783181358,22.8318135764944,11.4083080040527,96.4950872561959,199.6,36.8994441363392,96.4950872561959,35.2,30.6,34.2
1,TO,TORINO,13,Italiano,2020-21,15.362987527936,24.1943623386922,29.8248143608968,21.5918102516041,8.75207266959844,94.034302759135,194.3,39.5474727518221,94.034302759135,39.6,29.8,30.3
1,TO,TORINO,8,Matematica,2020-21,17.8660175465287,22.7648460875298,25.7873117298037,18.1652213601095,15.3608195141741,96.392432908051,197.5,39.6122046848814,96.392432908051,40.6,25.8,33.5
1,TO,TORINO,13,Matematica,2020-21,19.9161122360428,22.3170378941279,23.0474399768585,17.3488573908013,17.0885160543824,93.8828162129133,198.0,37.3636154148129,93.8828162129133,42.2,23.0,34.4
1,TO,TORINO,8,Inglese R,2020-21,3.74853771425665,17.6542393571029,78.5616194496719,0.0,0.0,96.1089113750794,206.2,39.1757964108145,96.1089113750794,21.4,78.6,0.0
1,TO,TORINO,13,Inglese R,2020-21,9.85884101040119,37.147102526003,52.9940564635958,0.0,0.0,93.8698654020504,201.8,40.1721733403276,93.8698654020504,47.0,53.0,0.0
1,TO,TORINO,8,Inglese L,2020-21,2.52964829236016,34.2291443986359,63.1139614190462,0.0,0.0,96.0404751429828,206.0,37.3137456667265,96.0404751429828,36.8,63.1,0.0
1,TO,TORINO,13,Inglese L,2020-21,17.906008328376,37.9312908982748,44.1627007733492,0.0,0.0,93.6751184173865,209.7,40.1836250909486,93.6751184173865,55.8,44.2,0.0
1,TO,TORINO,8,Italiano,2021-22,12.2974405573224,23.0248876773184,29.6632843656924,22.4140542177798,12.600333181887,96.1461923020919,200.3,37.2269294446958,96.1461923020919,35.3,29.7,35.0
1,TO,TORINO,10,Italiano,2021-22,13.7041900441686,21.1830010743703,30.8642712188134,24.7582666825833,9.49027098006446,91.3671811092327,197.9,38.5804020799212,91.3671811092327,34.9,30.9,34.2
1,TO,TORINO,13,Italiano,2021-22,16.4964152020811,22.9807753315145,30.6135397500159,20.9250682063321,8.98420151005647,95.8406810580724,193.9,39.4575153737514,95.8406810580724,39.5,30.6,29.9
1,TO,TORINO,8,Matematica,2021-22,16.320955175554,22.0985530709299,26.211676616412,18.7190124456137,16.6498026914904,95.937484832306,199.5,40.092257567853,95.937484832306,38.4,26.2,35.4
1,TO,TORINO,10,Matematica,2021-22,15.4062630980181,26.7049877252859,24.7470211364589,17.454044667984,15.6876833722532,90.9690070265265,199.7,36.1450605348327,90.9690070265265,42.1,24.7,33.1
1,TO,TORINO,13,Matematica,2021-22,18.6324351804779,22.235638027453,24.1992882562278,16.3446873411286,18.5879511947128,95.5898432754222,199.4,37.1247156224079,95.5898432754222,40.9,24.2,34.9
1,TO,TORINO,8,Inglese R,2021-22,3.04475794174363,16.5228864305288,80.4323556277276,0.0,0.0,95.6462651070233,209.3,38.8780832674158,95.6462651070233,19.6,80.4,0.0
1,TO,TORINO,13,Inglese R,2021-22,8.52931752643384,35.3860942005767,56.0845882729894,0.0,0.0,95.531068258341,204.7,39.9303194713966,95.531068258341,43.9,56.1,0.0
1,TO,TORINO,8,Inglese L,2021-22,2.19182262001627,31.7941415785191,66.0140358014646,0.0,0.0,95.4424112993253,209.4,37.8069690173517,95.4424112993253,34.0,66.0,0.0
1,TO,TORINO,13,Inglese L,2021-22,16.2345995893224,38.064681724846,45.7007186858316,0.0,0.0,95.4025099479645,211.1,39.8955001030203,95.4025099479645,54.3,45.7,0.0
2,VC,VERCELLI,8,Italiano,2017-18,10.4868913857678,22.6966292134831,34.0074906367041,22.1722846441948,10.561797752809,95.9051724137931,200.6,36.389264481623,95.9051724137931,33.2,34.0,32.7
2,VC,VERCELLI,10,Italiano,2017-18,11.7354196301565,27.3115220483642,30.298719772404,21.6216216216216,9.03271692745377,92.5608953258723,197.6,37.4578013386764,92.5608953258723,39.0,30.3,30.7
2,VC,VERCELLI,8,Matematica,2017-18,14.767616191904,25.0374812593703,29.76011994003,16.191904047976,14.2428785607196,95.8333333333333,198.7,36.2009905930979,95.8333333333333,39.8,29.8,30.4
2,VC,VERCELLI,10,Matematica,2017-18,17.4591909155429,26.7565649396735,22.9950319375444,18.8076650106458,13.8396025550035,92.7583936800527,198.3,38.0410593821732,92.7583936800527,44.2,23.0,32.6
2,VC,VERCELLI,8,Inglese R,2017-18,3.40136054421769,21.9198790627362,74.6787603930461,0.0,0.0,95.0431034482759,200.3,37.8072529011659,95.0431034482759,25.3,74.7,0.0
2,VC,VERCELLI,8,Inglese L,2017-18,3.10606060606061,39.7727272727273,57.1212121212121,0.0,0.0,94.8275862068966,199.8,36.169040049522,94.8275862068966,42.9,57.1,0.0
2,VC,VERCELLI,8,Italiano,2018-19,12.5279642058166,24.0119313944817,29.8284862043251,24.2356450410142,9.39597315436242,95.8541815582559,198.2,35.6166339692373,95.8541815582559,36.5,29.8,33.6
2,VC,VERCELLI,10,Italiano,2018-19,9.00225056264066,25.5063765941485,29.5573893473368,23.0307576894224,12.9032258064516,92.0580110497238,201.3,38.3253212712412,92.0580110497238,34.5,29.6,35.9
2,VC,VERCELLI,13,Italiano,2018-19,12.8362797847809,23.2129131437356,30.4381245196003,23.4435049961568,10.0691775557264,96.4418087472202,198.4,38.6122516059283,96.4418087472202,36.0,30.4,33.5
2,VC,VERCELLI,8,Matematica,2018-19,16.4056674123788,24.8322147651007,28.4116331096197,16.6293810589113,13.7211036539896,95.8541815582559,197.1,35.9410946259131,95.8541815582559,41.2,28.4,30.4
2,VC,VERCELLI,10,Matematica,2018-19,13.568215892054,24.8125937031484,25.8620689655172,17.1664167916042,18.5907046476762,92.1270718232044,202.4,38.0842454885377,92.1270718232044,38.4,25.9,35.8
2,VC,VERCELLI,13,Matematica,2018-19,18.8795088257866,22.102839600921,23.7912509593246,17.4213353798926,17.7283192632387,96.590066716086,199.6,36.3366723921083,96.590066716086,41.0,23.8,35.1
2,VC,VERCELLI,8,Inglese R,2018-19,3.5048471290082,20.5816554809843,75.9134973900074,0.0,0.0,95.8541815582559,201.4,35.9507641791649,95.8541815582559,24.1,75.9,0.0
2,VC,VERCELLI,13,Inglese R,2018-19,10.0769230769231,41.1538461538462,48.7692307692308,0.0,0.0,96.3676797627872,197.1,37.6383259002894,96.3676797627872,51.2,48.8,0.0
2,VC,VERCELLI,8,Inglese L,2018-19,2.01643017176998,39.9551904406273,58.0283793876027,0.0,0.0,95.711222301644,199.2,32.5009702628832,95.711222301644,42.0,58.0,0.0
2,VC,VERCELLI,13,Inglese L,2018-19,24.42218798151,45.7627118644068,29.8151001540832,0.0,0.0,96.2194217939214,196.7,37.7653567703219,96.2194217939214,70.2,29.8,0.0
2,VC,VERCELLI,8,Italiano,2020-21,15.758896151053,24.6913580246914,31.8809005083515,19.5352214960058,8.06100217864924,94.7042640990371,193.5,35.3522287666755,94.7042640990371,40.5,31.9,27.6
2,VC,VERCELLI,13,Italiano,2020-21,20.7174887892377,26.8161434977578,30.0448430493274,16.7713004484305,5.65022421524664,93.6188077246012,187.0,37.7763462336204,93.6188077246012,47.5,30.0,22.4
2,VC,VERCELLI,8,Matematica,2020-21,23.2946298984035,25.2539912917271,24.310595065312,15.4571843251089,11.5384615384615,94.7730398899587,189.8,38.8715702477643,94.7730398899587,48.5,24.3,27.0
2,VC,VERCELLI,13,Matematica,2020-21,25.9192825112108,25.5605381165919,19.5515695067265,14.5291479820628,14.4394618834081,93.6188077246012,191.9,36.7933991050321,93.6188077246012,51.5,19.6,29.0
2,VC,VERCELLI,8,Inglese R,2020-21,3.7708484408992,23.6403190717912,72.5163161711385,0.0,0.0,94.8418156808803,200.3,39.3539005023037,94.8418156808803,27.4,72.5,0.0
2,VC,VERCELLI,13,Inglese R,2020-21,11.981981981982,40.9009009009009,47.1171171171171,0.0,0.0,93.1989924433249,195.9,39.2620677984027,93.1989924433249,52.9,47.1,0.0
2,VC,VERCELLI,8,Inglese L,2020-21,2.68310369833212,41.4068165337201,55.9100797679478,0.0,0.0,94.8418156808803,200.8,36.7566155819038,94.8418156808803,44.1,55.9,0.0
2,VC,VERCELLI,13,Inglese L,2020-21,24.0974729241877,41.7870036101083,34.115523465704,0.0,0.0,93.0310663308144,200.8,38.8293625926727,93.0310663308144,65.9,34.1,0.0
2,VC,VERCELLI,8,Italiano,2021-22,14.0117994100295,26.401179941003,32.0058997050147,19.2477876106195,8.33333333333333,94.297635605007,194.2,34.8408605744997,94.297635605007,40.4,32.0,27.6
2,VC,VERCELLI,10,Italiano,2021-22,16.4319248826291,24.2566510172144,29.4209702660407,21.5179968701095,8.37245696400626,90.0634249471459,193.8,38.8836616016763,90.0634249471459,40.7,29.4,29.9
2,VC,VERCELLI,13,Italiano,2021-22,22.9235880398671,26.6611295681063,26.7441860465116,15.9468438538206,7.72425249169435,94.3573667711599,186.2,39.4454954341362,94.3573667711599,49.6,26.7,23.7
2,VC,VERCELLI,8,Matematica,2021-22,20.2522255192878,26.4836795252226,27.299703264095,15.4302670623145,10.5341246290801,93.7413073713491,191.7,36.6898118104545,93.7413073713491,46.7,27.3,26.0
2,VC,VERCELLI,10,Matematica,2021-22,20.6923682140047,29.3469708890637,23.9181746656176,14.948859166011,11.0936270653029,89.5701198026779,193.0,35.1178914582453,89.5701198026779,50.0,23.9,26.0
2,VC,VERCELLI,13,Matematica,2021-22,27.9831932773109,21.5126050420168,22.7731092436975,14.3697478991597,13.3613445378151,93.2601880877743,190.9,36.9196249625673,93.2601880877743,49.5,22.8,27.7
2,VC,VERCELLI,8,Inglese R,2021-22,4.67706013363029,17.8916109873794,77.4313288789903,0.0,0.0,93.6717663421419,204.5,39.8396894739064,93.6717663421419,22.6,77.4,0.0
2,VC,VERCELLI,13,Inglese R,2021-22,12.2073578595318,41.0535117056856,46.7391304347826,0.0,0.0,93.730407523511,197.6,40.5823114049189,93.730407523511,53.3,46.7,0.0
2,VC,VERCELLI,8,Inglese L,2021-22,2.74888558692422,35.4383358098068,61.8127786032689,0.0,0.0,93.6022253129346,205.3,37.9579717356422,93.6022253129346,38.2,61.8,0.0
2,VC,VERCELLI,13,Inglese L,2021-22,23.9731768650461,38.0553227158424,37.9715004191115,0.0,0.0,93.4952978056426,202.6,41.0619657396036,93.4952978056426,62.0,38.0,0.0
3,NO,NOVARA,8,Italiano,2017-18,10.992796742875,21.296586282493,31.5690573128719,23.4575634199812,12.6839962417789,95.7421289355322,202.1,38.5742060784739,95.7421289355322,32.3,31.6,36.1
3,NO,NOVARA,10,Italiano,2017-18,9.55269143290371,19.9393479909022,32.6383623957544,26.6868840030326,11.144806671721,92.2377622377622,203.6,37.8426117340706,92.2377622377622,29.5,32.6,37.8
3,NO,NOVARA,8,Matematica,2017-18,13.4965473948525,22.5988700564972,28.1858129315756,19.1148775894539,16.6038920276208,95.5322338830585,202.2,37.908820715154,95.5322338830585,36.1,28.2,35.7
3,NO,NOVARA,10,Matematica,2017-18,13.1029244208128,23.9270793771363,23.6992024306874,20.9266995822256,18.306114698063,92.0629370629371,203.8,37.5436393990209,92.0629370629371,37.0,23.7,39.2
3,NO,NOVARA,8,Inglese R,2017-18,2.95504558314995,17.8874567745992,79.1574976422509,0.0,0.0,95.3823088455772,204.4,37.9872891338751,95.3823088455772,20.8,79.2,0.0
3,NO,NOVARA,8,Inglese L,2017-18,2.73584905660377,37.4213836477987,59.3710691823899,0.0,0.0,95.3523238380809,202.6,36.8062007190282,95.3523238380809,40.2,59.4,0.0
3,NO,NOVARA,8,Italiano,2018-19,11.3587124729186,21.4794181367998,33.9213865676261,23.2126276694522,10.0278551532033,96.7944877171959,199.3,35.1516479879378,96.8525179856115,32.8,33.9,33.2
3,NO,NOVARA,10,Italiano,2018-19,8.51769911504425,19.4321533923304,30.4941002949852,27.8761061946903,13.6430678466077,93.4205993799518,205.9,37.495877840899,93.4205993799518,27.9,30.5,41.5
3,NO,NOVARA,13,Italiano,2018-19,6.22129436325678,17.286012526096,29.3528183716075,30.0208768267223,17.1189979123173,96.8851132686084,211.0,36.7457161037139,96.9243221367867,23.5,29.4,47.1
3,NO,NOVARA,8,Matematica,2018-19,13.7503871167544,23.9702694332611,27.4078662124497,19.2938990399504,15.5775781975844,96.7345715997603,200.4,37.0122935992672,96.7925659472422,37.7,27.4,34.9
3,NO,NOVARA,10,Matematica,2018-19,10.0890207715134,22.36646884273,27.0771513353116,21.2908011869436,19.1023738872404,92.869445401309,206.0,35.0232442289735,92.869445401309,32.5,27.1,40.4
3,NO,NOVARA,13,Matematica,2018-19,9.93736951983299,17.9123173277662,23.9665970772443,21.9206680584551,26.2630480167015,96.8851132686084,211.3,35.201449734049,96.9243221367867,27.8,24.0,48.2
3,NO,NOVARA,8,Inglese R,2018-19,2.66501394484041,16.6408428881314,80.6321660985435,0.0,0.0,96.6746554823247,206.5,35.6350423244843,96.7326139088729,19.3,80.6,0.0
